"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Eticovo","Etanercept-Ykro","INJECTABLE;INJECTION","761066","SAMSUNG BIOEPIS CO LTD","04/25/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761066s000lbl.pdf#page=31"
"Evekeo ODT","Amphetamine Sulfate","TABLET, ORALLY DISINTEGRATING;ORAL","209905","ARBOR PHARMS LLC","09/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/209905s003MedGuide.pdf"
"Evenity","Romosozumab-Aqqg","INJECTABLE;INJECTION","761062","AMGEN INC","12/20/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761062s000lbl.pdf#page=19"
"Evista","Raloxifene Hydrochloride","TABLET; ORAL","022042","LILLY","09/13/2007","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf"
"Evista","Raloxifene Hydrochloride","TABLET;ORAL","020815","LILLY","06/27/2018","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf"
"Exalgo","Hydromorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","021217","SPECGX LLC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021217s025lbl.pdf#page=31"
"Exjade","Deferasirox","TABLET, FOR SUSPENSION;ORAL","021882","NOVARTIS","07/23/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021882s033lbl.pdf#page=28"
"Extavia","Interferon Beta-1b","INJECTABLE; SUBCUTANEOUS","125290","NOVARTIS PHARMS","11/03/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125290s073lbl.pdf#page=16"
"Factive","Gemifloxacin Mesylate","TABLET;ORAL","021158","LG CHEM LTD","07/26/2016","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021158s026lbl.pdf#page=30"
"Farxiga","Dapagliflozin","TABLET;ORAL","202293","ASTRAZENECA AB","07/11/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202293Orig1s027lbl.pdf#page=50"
"Farydak","Panobinostat LActate","CAPSULE;ORAL","205353","SECURA","06/06/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM436377.pdf"
"Felbatol","Felbamate","TABLET;ORAL","020189","MYLAN SPECIALITY LP","08/31/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf"
"Felbatol","Felbamate","SUSPENSION;ORAL","020189","MYLAN SPECIALITY LP","08/31/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf"
"Feldene","Piroxicam","CAPSULE;ORAL","018147","PFIZER","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018147s050lbl.pdf#page=21"
"Fensolvi Kit","Leuprolide Acetate","POWDER;SUBCUTANEOUS","213150","TOLMAR","04/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213150s002lbl.pdf#page=15"
"Fentanyl Citrate","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","077312","PAR PHARM","09/07/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/077312MedGuide.pdf"
"Fentanyl Citrate","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","078907","SPECGX LLC","12/03/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/078907MedGuide.pdf"
"Fentora","Fentanyl Citrate","TABLET;BUCCAL, SUBLINGUAL","021947","CEPHALON","11/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021947s038lbl.pdf#page=42"
"Ferriprox","Deferiprone","TABLET;ORAL","021825","CHIESI","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021825s010lbl.pdf#page=17"
"Ferriprox","Deferiprone","TABLET;ORAL","212269","CHIESI","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212269s003lbl.pdf#page=17"
"Ferriprox","Deferiprone","SOLUTION;ORAL","208030","CHIESI","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208030s007lbl.pdf#page=13"
"Fetzima","Levomilnacipran Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","204168","ALLERGAN","09/20/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204168s007lbl.pdf#page=28"
"Fintepla","Fenfluramine Hydrochloride","SOLUTION;ORAL","212102","ZOGENIX INC","01/03/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/212102s006lbl.pdf#page=30"
"Fioricet W/ Codeine","Acetaminophen; Butalbital; Caffeine; Codeine Phosphate","CAPSULE;ORAL","020232","ACTAVIS LABS UT INC","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020232s045lbl.pdf#page=42"
"Fiorinal W/Codeine","Aspirin; Butalbital; Caffeine; Codeine Phosphate","CAPSULE;ORAL","019429","ALLERGAN","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019429s043lbl.pdf#page=39"
"Firdapse","Amifampridine Phosphate","TABLET;ORAL","208078","CATALYST PHARMS","09/29/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208078s008lbl.pdf#page=12"
"Flector","Diclofenac Epolamine","SYSTEM;TOPICAL","021234","INST BIOCHEM","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021234s019lbl.pdf#page=24"
"Flowtuss","Guaifenesin; Hydrocodone Bitartrate","SOLUTION;ORAL","022424","BKK PHARMS","06/28/2018","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022424s002lbl.pdf#page=26"
"Floxin","Ofloxacin","TABLET;ORAL","019735","JANSSEN PHARMS","02/25/2011","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/019735s061MedG.pdf"
"Fluoxetine Hydrochloride","Fluoxetine Hydrochloride","TABLET;ORAL","202133","ALMATICA","09/20/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202133s012lbl.pdf#page=35"
"Focalin","Dexmethylphenidate Hydrochloride","TABLET;ORAL","021278","NOVARTIS","06/26/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021278s029lbl.pdf#page=15"
"Focalin XR","Dexmethylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","021802","NOVARTIS","06/26/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021802s039lbl.pdf#page=18"
"Foradil","Formoterol Fumarate","POWDER;INHALATION","020831","NOVARTIS","03/02/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088602.pdf"
"Foradil Certihaler","Formoterol Fumarate","POWDER;INHALATION","021592","NOVARTIS","06/02/2010","https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021592s003lbl.pdf#page=35"
"Forfivo XL","Bupropion Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022497","ALMATICA","12/10/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022497s008lbl.pdf#page=33"
"Forteo","Teriparatide","SOLUTION;SUBCUTANEOUS","021318","LILLY","09/07/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021318Orig1s054lbl.pdf#page=16"
"Fortesta","Testosterone","GEL, METERED;TRANSDERMAL","021463","ENDO PHARMS","06/30/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021463s025lbl.pdf#page=21"
"Fosamax","Alendronate Sodium","SOLUTION;ORAL","021575","MERCK","11/30/2015","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020560s068,021575s024lbl.pdf#page=24"
"Fosamax","Alendronate Sodium","TABLET;ORAL","020560","MERCK AND CO INC","08/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020560s068,021575s024lbl.pdf#page=24"
"Fosamax Plus D","Alendronate Sodium; Cholecalciferol","TABLET;ORAL","021762","ORGANON","08/16/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM241521.pdf"
"Fosamax Plus D","Alendronate Sodium; Cholecalciferol","TABLET;ORAL","021762","ORGANON","08/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021762s022lbl.pdf#page=23"
"Fosrenol","Lanthanum Carbonate","TABLET, CHEWABLE;ORAL","021468","TAKEDA PHARMS USA","05/11/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021468s023,204734s005lbl.pdf#page=12"
"Fosrenol","Lanthanum Carbonate","POWDER;ORAL","204734","TAKEDA PHARMS USA","05/11/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021468s023,204734s005lbl.pdf#page=12"
"Fycompa","Perampanel","TABLET;ORAL","202834","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202834s016,208277s004lbl.pdf#page=24"
"Fycompa","Perampanel","SUSPENSION;ORAL","208277","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202834s016,208277s004lbl.pdf#page=24"
"Gabitril","Tiagabine Hydrochloride","TABLET;ORAL","020646","CEPHALON","08/09/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM229203.pdf"
"Gadavist","Gadobutrol","SOLUTION;INTRAVENOUS","201277","BAYER HLTHCARE","04/27/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/201277s020lbl.pdf#page=42"
"Gattex Kit","Teduglutide Recombinant","POWDER;SUBCUTANEOUS","203441","NPS PHARMS INC","02/11/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/203441s018lbl.pdf#page=17"
"Gilenya","Fingolimod Hydrochloride","CAPSULE;ORAL","022527","NOVARTIS","12/26/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022527s029s030lbl.pdf#page=26"
"Gimoti","Metoclopramide Hydrochloride","SPRAY, METERED;NASAL","209388","EVOKE PHARMA INC","01/14/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/209388s001lbl.pdf#page=17"
"Gloperba","Colchicine","SOLUTION;ORAL","210942","ROMEG","02/11/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210942Orig1s001lbl.pdf#page=12"
"Glyxambi","Empagliflozin; Linagliptin","TABLET;ORAL","206073","BOEHRINGER INGELHEIM","10/13/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/206073s033lbl.pdf#page=32"
"Golytely","Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Sulfate Anhydrous","FOR SOLUTION;ORAL","019011","BRAINTREE","05/14/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019011s033lbl.pdf#page=9"
"Gralise","Gabapentin","TABLET;ORAL","022544","ALMATICA","09/16/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022544s026lbl.pdf#page=19"
"H.P. Acthar Gel","Repository Corticotropin","INJECTABLE; INJECTION","022432","QUESTCOR PHARMA","10/15/2010","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM231714.pdf"
"Hadlima","Adalimumab-Bwwd","INJECTABLE;INJECTION","761059","SAMSUNG BIOEPIS CO LTD","06/17/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761059s004lbl.pdf#page=40"
"Halcion","Triazolam","TABLET;ORAL","017892","PFIZER","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017892s057lbl.pdf#page=20"
"Halflytely","Bisacodyl; Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride","FOR SOLUTION, TABLET, DELAYED RELEASE;ORAL","021551","BRAINTREE","06/03/2013","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM220644.pdf"
"Hemangeol","Propranolol Hydrochloride","SOLUTION;ORAL","205410","PIERRE FABRE DERMA","06/22/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/205410s006lbl.pdf#page=11"
"Hemlibra","Emicizumab","INJECTABLE;INJECTION","761083","GENENTECH INC","06/06/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761083s015lbl.pdf#page=22"
"Horizant","Gabapentin Enacarbil","TABLET, EXTENDED RELEASE;ORAL","022399","ARBOR PHARMS LLC","04/17/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022399s010lbl.pdf#page=27"
"Hulio","Adalimumab-Fkjp","INJECTABLE;INJECTION","761154","MYLAN PHARMS INC","07/06/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761154s000lbl.pdf#page=41"
"Humira","Adalimumab","SYRINGE","125057","ABBVIE INC","02/24/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125057s417lbl.pdf#page=60"
"Humira","Adalimumab","VIAL","125057","ABBVIE INC","02/24/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125057s417lbl.pdf#page=60"
"Hycodan","Homatropine METhylbromide; Hydrocodone Bitartrate","TABLET;ORAL","005213","GENUS","09/27/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/005213s044lbl.pdf#page=27"
"Hycodan","Homatropine METhylbromide; Hydrocodone Bitartrate","SYRUP;ORAL","005213","GENUS","09/27/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/005213s044lbl.pdf#page=27"
"Hydromorphone Hydrochloride","Hydromorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","204278","PADAGIS US","03/04/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/204278Orig1s000MG.pdf"
"Hyrimoz","Adalimumab-Adaz","INJECTABLE;INJECTION","761071","SANDOZ INC","07/18/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761071s010s012lbl.pdf#page=41"
"Hysingla ER","Hydrocodone Bitartrate","TABLET, EXTENDED RELEASE;ORAL","206627","PURDUE PHARMA LP","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/206627s012lbl.pdf#page=39"
"Ibsrela","Tenapanor Hydrochloride","TABLET;ORAL","211801","ARDELYX INC","04/05/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/211801s004lbl.pdf#page=14"
"Iclusig","Ponatinib Hydrochloride","TABLET;ORAL","203469","TAKEDA PHARMS USA","02/15/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/203469s035lbl.pdf#page=34"
"Idhifa","Enasidenib Mesylate","TABLET;ORAL","209606","CELGENE CORP","07/26/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/209606s004lbl.pdf#page=17"
"Ilaris","Canakinumab","INJECTABLE; SUBCUTANEOUS","125319","NOVARTIS PHARMS","09/18/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125319s100lbl.pdf#page=19"
"Ilumya","Tildrakizumab-Asmn","INJECTABLE;INJECTION","761067","SUN PHARMA GLOBAL","03/20/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761067s000lbl.pdf#page=10"
"Imfinzi","Durvalumab","INJECTABLE;INJECTION","761069","ASTRAZENECA UK LTD","11/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761069s033lbl.pdf#page=51"
"Imipramine Hydrochloride","Imipramine Hydrochloride","TABLET;ORAL","087846","SPECGX LLC","06/29/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/087846s028,087844s027,087845s027lbl.pdf#page=3"
"Imjudo","Tremelimumab-Actl","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","761270","ASTRAZENECA","11/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761270s000lbl.pdf#page=32"
"Incivek","Telaprevir","TABLET;ORAL","201917","VERTEX PHARMS","03/25/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM256383.pdf"
"Indocin","Indomethacin","SUPPOSITORY;RECTAL","017814","EGALET","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017814s044lbl.pdf#page=24"
"Indocin","Indomethacin","CAPSULE;ORAL","016059","EGALET","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016059s101lbl.pdf#page=24"
"Indocin","Indomethacin","SUSPENSION;ORAL","018332","EGALET","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018332s042lbl.pdf#page=24"
"Indocin SR","Indomethacin","CAPSULE, EXTENDED RELEASE;ORAL","018185","EGALET","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018185s058lbl.pdf#page=25"
"Indomethacin","Indomethacin","CAPSULE;ORAL","018829","CHARTWELL MOLECULES","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018829s023lbl.pdf#page=18"
"Indomethacin","Indomethacin","CAPSULE;ORAL","018851","HERITAGE","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018851s028lbl.pdf#page=23"
"Indomethacin","Indomethacin","CAPSULE;ORAL","018858","RISING","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018858s047lbl.pdf#page=26"
"Inflectra","Infliximab-Dyyb","INJECTABLE;INJECTION","125544","CELLTRION INC","06/17/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125544s018lbl.pdf#page=61"
"Inrebic","Fedratinib Hydrochloride","CAPSULE;ORAL","212327","IMPACT","12/03/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212327s003lbl.pdf#page=20"
"Intermezzo","Zolpidem Tartrate","TABLET;SUBLINGUAL","022328","PURDUE PHARMA","08/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022328s008lbl.pdf#page=20"
"Intron A","Interferon Alfa-2b","VIAL","103132","SCHERING","11/26/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103132s5196lbl.pdf#page=40"
"Invirase","Saquinavir Mesylate","TABLET;ORAL","021785","HOFFMANN-LA ROCHE","09/18/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021785s025lbl.pdf#page=25"
"Invirase","Saquinavir Mesylate","CAPSULE;ORAL","020628","HOFFMANN LA ROCHE","03/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020628s047,021785s023lbl.pdf#page=24"
"Invokamet","Canagliflozin; METformin Hydrochloride","TABLET;ORAL","204353","JANSSEN PHARMS","10/13/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/204353s041,205879s018lbl.pdf#page=59"
"Invokamet XR","Canagliflozin; METformin Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","205879","JANSSEN PHARMS","10/13/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/204353s041,205879s018lbl.pdf#page=59"
"Invokana","Canagliflozin","TABLET;ORAL","204042","JANSSEN PHARMS","10/13/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/204042s039lbl.pdf#page=48"
"Ixifi","Infliximab-Qbtx","INJECTABLE;INJECTION","761072","PFIZER INC","01/16/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761072s006lbl.pdf#page=43"
"Jadenu","Deferasirox","TABLET;ORAL","206910","NOVARTIS PHARMS CORP","07/23/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/206910s015lbl.pdf#page=31"
"Jadenu Sprinkle","Deferasirox","GRANULE;ORAL","207968","NOVARTIS","07/23/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207968s009lbl.pdf#page=31"
"Janumet","Metformin Hydrochloride; Sitagliptin Phosphate","TABLET;ORAL","022044","MERCK SHARP DOHME","06/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022044s052lbl.pdf#page=33"
"Janumet XR","Metformin Hydrochloride; Sitagliptin Phosphate","TABLET, EXTENDED RELEASE;ORAL","202270","MERCK SHARP DOHME","06/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202270s026lbl.pdf#page=34"
"Januvia","Sitagliptin Phosphate","TABLET;ORAL","021995","MERCK SHARP DOHME","06/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021995s050lbl.pdf#page=27"
"Jardiance","Empagliflozin","TABLET;ORAL","204629","BOEHRINGER INGELHEIM","10/13/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/204629s039lbl.pdf#page=40"
"Jemperli","Dostarlimab-Gxly","INJECTABLE;INJECTION","761223","GLAXOSMITHKLINE LLC","08/17/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761223s000lbl.pdf#page=25"
"Jemperli","Dostarlimab-Gxly","INJECTABLE;INJECTION","761174","GLAXOSMITHKLINE","04/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761174s002lbl.pdf#page=25"
"Jentadueto","Linagliptin; METformin Hydrochloride","TABLET;ORAL","201281","BOEHRINGER INGELHEIM","04/15/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/201281s031lbl.pdf#page=21"
"Jentadueto XR","Linagliptin; METformin Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","208026","BOEHRINGER INGELHEIM","10/01/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208026s020lbl.pdf#page=21"
"Jesduvroq","Daprodustat","TABLET;ORAL","216951","GLAXOSMITHKLINE","02/01/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216951s000lbl.pdf#page=23"
"Jeuveau","Prabotulinumtoxina-Xvfs","INJECTABLE;INJECTION","761085","EVOLUS INC","07/12/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761085s000lbl.pdf#page=9"
"Jornay PM","Methylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","209311","IRONSHORE PHARMS","06/25/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/209311s008lbl.pdf#page=19"
"Juvisync","Simvastatin; Sitagliptin Phosphate","TABLET;ORAL","202343","MERCK SHARP DOHME","02/24/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM275945.pdf"
"Juxtapid","Lomitapide Mesylate","CAPSULE;ORAL","203858","AMRYT","05/27/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/203858s017lbl.pdf#page=32"
"Jynarque","Tolvaptan","TABLET;ORAL","204441","OTSUKA","11/25/2020","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/204441lbl.pdf#page=18"
"Kadian","Morphine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","020616","ALLERGAN","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020616s065lbl.pdf#page=36"
"Kalbitor","Ecallantide","INJECTABLE; INJECTION","125277","DYAX CORP.","12/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125277s081lbl.pdf#page=13"
"Kaletra","Lopinavir; Ritonavir","TABLET;ORAL","021906","ABBVIE","10/21/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021251s059,021906s054lbl.pdf#page=53"
"Kaletra","Lopinavir; Ritonavir","SOLUTION;ORAL","021251","ABBVIE","10/21/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021251s059,021906s054lbl.pdf#page=53"
"Kaletra","Lopinavir; Ritonavir","CAPSULE;ORAL","021226","ABBVIE","10/21/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021226s049lbl.pdf#page=53"
"Kazano","Alogliptin Benzoate; METformin Hydrochloride","TABLET;ORAL","203414","TAKEDA PHARMS USA","07/01/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/203414s007lbl.pdf#page=32"
"Keppra","Levetiracetam","TABLET;ORAL","021035","UCB INC","09/30/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021035s104,021505s044lbl.pdf#page=31"
"Keppra","Levetiracetam","SOLUTION;ORAL","021505","UCB INC","09/30/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021035s104,021505s044lbl.pdf#page=31"
"Keppra XR","Levetiracetam","TABLET, EXTENDED RELEASE;ORAL","022285","UCB INC","09/30/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022285s029lbl.pdf#page=26"
"Kesimpta","Ofatumumab","SOLUTION;SUBCUTANEOUS","125326","NOVARTIS","09/02/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125326s075lbl.pdf#page=13"
"Ketek","Telithromycin","TABLET;ORAL","021144","SANOFI AVENTIS US","11/04/2015","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021144s019lbl.pdf#page=29"
"Kevzara","Sarilumab","INJECTABLE;INJECTION","761037","SANOFI SYNTHELABO","04/13/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761037s001lbl.pdf#page=27"
"Keytruda","Pembrolizumab","SOLUTION;INTRAVENOUS","125514","MERCK SHARP DOHME","01/26/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125514s128lbl.pdf#page=129"
"Khedezla","Desvenlafaxine","TABLET, EXTENDED RELEASE;ORAL","204683","OSMOTICA PHARM CORP","09/20/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204683s007lbl.pdf#page=24"
"Klonopin","Clonazepam","TABLET;ORAL","017533","CHEPLAPHARM","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017533s062lbl.pdf#page=24"
"Kombiglyze XR","Metformin Hydrochloride; Saxagliptin Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","200678","ASTRAZENECA AB","07/01/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/200678s024lbl.pdf#page=47"
"Konvomep","Omeprazole; Sodium Bicarbonate","SUSPENSION;ORAL","213593","AZURITY","08/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213593s000lbl.pdf#page=28"
"Korlym","Mifepristone","TABLET;ORAL","202107","CORCEPT THERAP","11/05/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202107s008lbl.pdf#page=20"
"Krystexxa","Pegloticase","INJECTABLE; INJECTION","125293","HORIZON PHARMA","07/07/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125293s104lbl.pdf#page=18"
"Kynamro","Mipomersen Sodium","SOLUTION;SUBCUTANEOUS","203568","KASTLE THERAPS LLC","03/18/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM337730.pdf"
"Lacosamide","Lacosamide","SOLUTION;ORAL","204839","AMNEAL PHARMS","10/27/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/LacosamideTabletsCVMedGuide.pdf"
"Lacosamide","Lacosamide","TABLET;ORAL","204855","ACTAVIS LABS FL INC","10/27/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/LACOSAMIDE TABLETSMedGuide.pdf"
"Lacosamide","Lacosamide","TABLET;ORAL","204857","AMNEAL PHARMS NY","08/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/LACOSAMIDE ORAL SOLUTIONMed Guide.pdf"
"Lamictal","Lamotrigine","TABLET;ORAL","020241","GLAXOSMITHKLINE LLC","03/31/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020241s064,020764s057,022251s028lbl.pdf#page=65"
"Lamictal CD","Lamotrigine","TABLET, FOR SUSPENSION;ORAL","020764","GLAXOSMITHKLINE LLC","03/31/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020241s064,020764s057,022251s028lbl.pdf#page=65"
"Lamictal ODT","Lamotrigine","TABLET, ORALLY DISINTEGRATING;ORAL","022251","GLAXOSMITHKLINE LLC","03/31/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020241s064,020764s057,022251s028lbl.pdf#page=65"
